order_id,customer_id,order_date,shipped_at,delivered_at,updated_at,city,courier,payment_status,order_status,promised_days,order_value,is_test_order
O1001,C01,29-04-26,1/5/2026,3/5/2026,3/5/2026,Bengaluru,ShipQuick,Paid,Delivered,2,1200,No
O1002,C02,2/5/2026,3/5/2026,7/5/2026,7/5/2026,Mumbai,shipquick,pending,delivered,3,900,No
O1002,C02,2/5/2026,3/5/2026,7/5/2026,8/5/2026,Mumbai,ShipQuick,Paid,Delivered,3,900,No
O1003,C03,4/5/2026,5/5/2026,6/5/2026,6/5/2026,Delhi,FastBee,Pending,Delivered,2,650,No
O1004,C04,5/5/2026,6/5/2026,1/6/2026,1/6/2026,Pune,Blue Dart,Paid,Delivered,4,2000,No
O1005,C05,8/5/2026,9/5/2026,,10/5/2026,Chennai,Fastbee,Paid,Cancelled,3,700,No
O1006,C06,10/5/2026,11/5/2026,14-05-26,14-05-26,Mumbai,Bluedart,Paid,Delivered,3,1500,No
O1006,C06,10/5/2026,11/5/2026,14-05-26,14-05-26,Mumbai,Bluedart,Paid,Delivered,3,1500,No
O1007,C07,12/5/2026,13-05-26,15-05-26,15-05-26,Bangalore,ShipQuick,Paid,Delivered,2,1,Yes
O1008,C08,15-05-26,16-05-26,18-05-26,18-05-26,Pune,FastBee,Paid,Delivered,-2,500,No
